pivot_definition,pivot_display_name,turn_number,pivot_turns,nonpivot_turns,pivot_next_same_rate,nonpivot_next_same_rate,same_risk_difference,pivot_next_adjacent_rate,nonpivot_next_adjacent_rate,adjacent_risk_difference
broad_discovery,broad discovery/change cue,2,815,14384,0.7141104294478527,0.6557285873192435,0.058381842128609196,0.7141104294478527,0.6557285873192435,0.058381842128609196
broad_discovery,broad discovery/change cue,3,1101,14098,0.7220708446866485,0.6439920556107249,0.07807878907592358,0.706630336058129,0.6238473542346432,0.08278298182348576
broad_discovery,broad discovery/change cue,4,1394,13805,0.7589670014347202,0.6399855124954726,0.11898148893924754,0.7266857962697274,0.6055052517203912,0.12118054454933624
broad_discovery,broad discovery/change cue,5,1601,13598,0.7732667083073079,0.6356081776731872,0.1376585306341207,0.7214241099312929,0.5834681570819238,0.13795595284936912
broad_discovery,broad discovery/change cue,6,1802,13397,0.8057713651498335,0.6299171456296185,0.17585421952021496,0.7469478357380688,0.5703515712472942,0.1765962644907746
broad_discovery,broad discovery/change cue,7,2020,13179,0.7940594059405941,0.6225813794673344,0.17147802647325971,0.7247524752475247,0.5545944305334244,0.17015804471410034
broad_discovery,broad discovery/change cue,8,2249,12950,0.7674522009782125,0.6237837837837837,0.1436684171944288,0.6927523343708315,0.5505791505791506,0.14217318379168087
artist_explicit,artist-targeted (primary),2,906,14293,0.7671081677704195,0.6519974812845449,0.11511068648587452,0.7671081677704195,0.6519974812845449,0.11511068648587452
artist_explicit,artist-targeted (primary),3,1568,13631,0.7302295918367347,0.6403785488958991,0.08985104294083568,0.7168367346938775,0.6198371359401365,0.09699959875374109
artist_explicit,artist-targeted (primary),4,2001,13198,0.7461269365317341,0.6364600697075314,0.10966686682420268,0.7066466766616691,0.6029701469919685,0.10367652966970065
artist_explicit,artist-targeted (primary),5,2369,12830,0.7488391726466863,0.6318784099766173,0.11696076267006905,0.6842549598986915,0.5820732657833203,0.10218169411537115
artist_explicit,artist-targeted (primary),6,2577,12622,0.7726038028715561,0.6258913009031849,0.14671250196837116,0.69965075669383,0.5691649500871494,0.13048580660668063
artist_explicit,artist-targeted (primary),7,2822,12377,0.771793054571226,0.6165468207158439,0.15524623385538217,0.68781006378455,0.5519915973176053,0.13581846646694473
artist_explicit,artist-targeted (primary),8,2883,12316,0.7835587929240374,0.6126177330302046,0.1709410598938328,0.697884148456469,0.5420591101006821,0.15582503835578687
core_change,core change cue,2,468,14731,0.8012820512820513,0.6543343968501799,0.1469476544318714,0.8012820512820513,0.6543343968501799,0.1469476544318714
core_change,core change cue,3,725,14474,0.7710344827586207,0.6435677767030538,0.12746670605556698,0.7613793103448275,0.6232554926074341,0.13812381773739346
core_change,core change cue,4,909,14290,0.7887788778877888,0.6421273617914626,0.1466515160963262,0.7546754675467546,0.6078376487053884,0.14683781884136626
core_change,core change cue,5,1066,14133,0.8142589118198874,0.6377273048892662,0.1765316069306212,0.7551594746716698,0.586145899667445,0.16901357500422476
core_change,core change cue,6,1221,13978,0.8116298116298116,0.6367148376019459,0.1749149740278657,0.7534807534807535,0.5771211904421233,0.1763595630386302
core_change,core change cue,7,1342,13857,0.8032786885245902,0.6300786606047485,0.17320002791984168,0.732488822652757,0.5621707440282889,0.17031807862446813
core_change,core change cue,8,1416,13783,0.8015536723163842,0.6289632155553944,0.17259045676098983,0.7288135593220338,0.5554668794892259,0.17334667983280794
