split,goal_category,goal_specificity,sessions
blind_a,A,HL,2
blind_a,A,LH,1
blind_a,A,LL,1
blind_a,B,HH,3
blind_a,B,HL,2
blind_a,B,LH,3
blind_a,B,LL,6
blind_a,C,HH,3
blind_a,C,HL,2
blind_a,C,LH,3
blind_a,C,LL,3
blind_a,D,HH,1
blind_a,D,HL,4
blind_a,D,LL,4
blind_a,E,HL,1
blind_a,E,LH,4
blind_a,E,LL,1
blind_a,F,HL,4
blind_a,F,LH,3
blind_a,F,LL,1
blind_a,G,HL,4
blind_a,G,LH,2
blind_a,G,LL,3
blind_a,H,HH,1
blind_a,H,LH,2
blind_a,H,LL,4
blind_a,I,LL,2
blind_a,J,HH,1
blind_a,J,HL,2
blind_a,J,LH,1
blind_a,J,LL,2
blind_a,K,HL,2
blind_a,K,LH,2
dev_test,A,HL,26
dev_test,A,LH,13
dev_test,A,LL,22
dev_test,B,HH,22
dev_test,B,HL,42
dev_test,B,LH,35
dev_test,B,LL,43
dev_test,C,HH,1
dev_test,C,HL,8
dev_test,C,LH,32
dev_test,C,LL,17
dev_test,D,HH,12
dev_test,D,HL,28
dev_test,D,LH,26
dev_test,D,LL,20
dev_test,E,HH,8
dev_test,E,HL,16
dev_test,E,LH,44
dev_test,E,LL,27
dev_test,F,HH,12
dev_test,F,HL,32
dev_test,F,LH,31
dev_test,F,LL,20
dev_test,G,HH,5
dev_test,G,HL,31
dev_test,G,LH,22
dev_test,G,LL,19
dev_test,H,HH,14
dev_test,H,HL,48
dev_test,H,LH,39
dev_test,H,LL,34
dev_test,I,HH,3
dev_test,I,HL,2
dev_test,I,LH,8
dev_test,I,LL,5
dev_test,J,HH,10
dev_test,J,HL,30
dev_test,J,LH,16
dev_test,J,LL,21
dev_test,K,HH,15
dev_test,K,HL,44
dev_test,K,LH,47
dev_test,K,LL,50
train,A,HH,19
train,A,HL,506
train,A,LH,357
train,A,LL,202
train,B,HH,410
train,B,HL,574
train,B,LH,546
train,B,LL,619
train,C,HH,49
train,C,HL,120
train,C,LH,624
train,C,LL,185
train,D,HH,151
train,D,HL,395
train,D,LH,472
train,D,LL,186
train,E,HH,92
train,E,HL,348
train,E,LH,471
train,E,LL,389
train,F,HH,154
train,F,HL,455
train,F,LH,314
train,F,LL,164
train,G,HH,165
train,G,HL,404
train,G,LH,534
train,G,LL,256
train,H,HH,193
train,H,HL,769
train,H,LH,604
train,H,LL,629
train,I,HH,103
train,I,HL,54
train,I,LH,140
train,I,LL,90
train,J,HH,188
train,J,HL,495
train,J,LH,495
train,J,LL,318
train,K,HH,170
train,K,HL,665
train,K,LH,621
train,K,LL,504
