check,left_count,right_count,intersection,missing,coverage_rate
conversation_music_track_ids_in_all_tracks:train,43597,47071,43597,0.0,1.0
conversation_music_track_ids_in_all_tracks:dev_test,6761,47071,6761,0.0,1.0
conversation_music_track_ids_in_all_tracks:blind_a,208,47071,208,0.0,1.0
conversation_music_track_ids_in_test_tracks:train,43597,7405,3931,39666.0,0.09016675459320596
conversation_music_track_ids_in_test_tracks:dev_test,6761,7405,6761,0.0,1.0
conversation_music_track_ids_in_test_tracks:blind_a,208,7405,208,0.0,1.0
test_tracks_subset_of_all_tracks,7405,47071,7405,0.0,1.0
track_embedding_all_ids_in_all_tracks,47071,47071,47071,0.0,1.0
track_metadata_all_tracks_in_track_embeddings,47071,47071,47071,0.0,1.0
conversation_user_ids_in_user_metadata:train,8591,8772,8591,0.0,1.0
conversation_user_ids_in_user_embeddings:train,8591,8720,8591,0.0,1.0
conversation_user_ids_in_user_metadata:dev_test,500,8772,500,0.0,1.0
conversation_user_ids_in_user_embeddings:dev_test,500,8720,500,0.0,1.0
conversation_user_ids_in_user_metadata:blind_a,58,8772,58,0.0,1.0
conversation_user_ids_in_user_embeddings:blind_a,58,8720,25,33.0,0.43103448275862066
session_overlap:train:dev_test,15199,1000,0,,
user_overlap:train:dev_test,8591,500,371,,
session_overlap:train:blind_a,15199,80,0,,
user_overlap:train:blind_a,8591,58,25,,
session_overlap:dev_test:blind_a,1000,80,0,,
user_overlap:dev_test:blind_a,500,58,25,,
