split,scope,source,topk,events,active_events,active_rate,hits,recall,eligible_recall
dev_test,combined,prior_album,20,8000,7500,0.9375,1998,0.24975,0.2664
dev_test,combined,prior_album,50,8000,7500,0.9375,2412,0.3015,0.3216
dev_test,combined,prior_album,100,8000,7500,0.9375,2551,0.318875,0.34013333333333334
dev_test,combined,prior_artist,20,8000,7500,0.9375,2006,0.25075,0.2674666666666667
dev_test,combined,prior_artist,50,8000,7500,0.9375,2843,0.355375,0.37906666666666666
dev_test,combined,prior_artist,100,8000,7500,0.9375,3303,0.412875,0.4404
dev_test,combined,prior_track,20,8000,7500,0.9375,241,0.030125,0.03213333333333333
dev_test,combined,prior_track,50,8000,7500,0.9375,280,0.035,0.037333333333333336
dev_test,combined,prior_track,100,8000,7500,0.9375,280,0.035,0.037333333333333336
dev_test,session,prior_album,20,8000,7000,0.875,1924,0.2405,0.27485714285714286
dev_test,session,prior_album,50,8000,7000,0.875,2224,0.278,0.3177142857142857
dev_test,session,prior_album,100,8000,7000,0.875,2247,0.280875,0.321
dev_test,session,prior_artist,20,8000,7000,0.875,1962,0.24525,0.2802857142857143
dev_test,session,prior_artist,50,8000,7000,0.875,2726,0.34075,0.3894285714285714
dev_test,session,prior_artist,100,8000,7000,0.875,3087,0.385875,0.441
dev_test,session,prior_track,20,8000,7000,0.875,0,0.0,0.0
dev_test,session,prior_track,50,8000,7000,0.875,0,0.0,0.0
dev_test,session,prior_track,100,8000,7000,0.875,0,0.0,0.0
dev_test,user,prior_album,20,8000,4000,0.5,218,0.02725,0.0545
dev_test,user,prior_album,50,8000,4000,0.5,450,0.05625,0.1125
dev_test,user,prior_album,100,8000,4000,0.5,596,0.0745,0.149
dev_test,user,prior_artist,20,8000,4000,0.5,222,0.02775,0.0555
dev_test,user,prior_artist,50,8000,4000,0.5,401,0.050125,0.10025
dev_test,user,prior_artist,100,8000,4000,0.5,639,0.079875,0.15975
dev_test,user,prior_track,20,8000,4000,0.5,253,0.031625,0.06325
dev_test,user,prior_track,50,8000,4000,0.5,280,0.035,0.07
dev_test,user,prior_track,100,8000,4000,0.5,280,0.035,0.07
train,combined,prior_album,20,121592,113001,0.929345680636884,48077,0.3953960786893875,0.42545641189016026
train,combined,prior_album,50,121592,113001,0.929345680636884,54200,0.44575301006645174,0.4796417730816541
train,combined,prior_album,100,121592,113001,0.929345680636884,55807,0.4589693400881637,0.4938628861691489
train,combined,prior_artist,20,121592,113001,0.929345680636884,41972,0.3451871833673268,0.37143034132441305
train,combined,prior_artist,50,121592,113001,0.929345680636884,61653,0.5070481610632278,0.5455969416199856
train,combined,prior_artist,100,121592,113001,0.929345680636884,69390,0.5706789920389499,0.6140653622534313
train,combined,prior_track,20,121592,113001,0.929345680636884,4053,0.033332785051648134,0.035866939230626275
train,combined,prior_track,50,121592,113001,0.929345680636884,5275,0.04338278834133825,0.04668100282298387
train,combined,prior_track,100,121592,113001,0.929345680636884,5689,0.04678761760642147,0.05034468721515739
train,session,prior_album,20,121592,106393,0.875,47014,0.38665372721889596,0.44188997396445256
train,session,prior_album,50,121592,106393,0.875,51581,0.4242137640634252,0.48481573035820025
train,session,prior_album,100,121592,106393,0.875,51912,0.4269359826304362,0.4879268372919271
train,session,prior_artist,20,121592,106393,0.875,41180,0.3386735969471676,0.38705553936819154
train,session,prior_artist,50,121592,106393,0.875,60375,0.4965376011579709,0.5674715441805382
train,session,prior_artist,100,121592,106393,0.875,67459,0.5547980130271728,0.6340548720310547
train,session,prior_track,20,121592,106393,0.875,0,0.0,0.0
train,session,prior_track,50,121592,106393,0.875,0,0.0,0.0
train,session,prior_track,100,121592,106393,0.875,0,0.0,0.0
train,user,prior_album,20,121592,52864,0.43476544509507203,4418,0.036334627278110404,0.08357294188861986
train,user,prior_album,50,121592,52864,0.43476544509507203,7508,0.06174748338706494,0.14202481840193704
train,user,prior_album,100,121592,52864,0.43476544509507203,9200,0.07566287255740509,0.1740314769975787
train,user,prior_artist,20,121592,52864,0.43476544509507203,4228,0.03477202447529443,0.07997881355932203
train,user,prior_artist,50,121592,52864,0.43476544509507203,7241,0.05955161523784459,0.13697412227602906
train,user,prior_artist,100,121592,52864,0.43476544509507203,9518,0.07827817619580235,0.18004691283292978
train,user,prior_track,20,121592,52864,0.43476544509507203,4229,0.034780248700572405,0.07999773002421308
train,user,prior_track,50,121592,52864,0.43476544509507203,5309,0.043662412000789526,0.10042751210653753
train,user,prior_track,100,121592,52864,0.43476544509507203,5690,0.04679584183169946,0.10763468523002422
