split,scope,goal_category,goal_specificity,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,combined,A,HL,album,208,205,87,0.4182692307692308,0.424390243902439,0.039393131752803075
dev_test,combined,A,HL,artist,208,205,114,0.5480769230769231,0.5560975609756098,0.039393131752803075
dev_test,combined,A,HL,exact,208,205,20,0.09615384615384616,0.0975609756097561,0.039393131752803075
dev_test,combined,A,HL,tag,208,205,198,0.9519230769230769,0.9658536585365853,0.039393131752803075
dev_test,combined,A,LH,album,104,97,38,0.36538461538461536,0.3917525773195876,0.064252220440827
dev_test,combined,A,LH,artist,104,97,52,0.5,0.5360824742268041,0.064252220440827
dev_test,combined,A,LH,exact,104,97,2,0.019230769230769232,0.020618556701030927,0.064252220440827
dev_test,combined,A,LH,tag,104,97,96,0.9230769230769231,0.9896907216494846,0.064252220440827
dev_test,combined,A,LL,album,176,165,71,0.4034090909090909,0.4303030303030303,0.07102455416569799
dev_test,combined,A,LL,artist,176,165,86,0.48863636363636365,0.5212121212121212,0.07102455416569799
dev_test,combined,A,LL,exact,176,165,10,0.056818181818181816,0.06060606060606061,0.07102455416569799
dev_test,combined,A,LL,tag,176,165,164,0.9318181818181818,0.9939393939393939,0.07102455416569799
dev_test,combined,B,HH,album,176,166,66,0.375,0.39759036144578314,0.08692868039839428
dev_test,combined,B,HH,artist,176,166,102,0.5795454545454546,0.6144578313253012,0.08692868039839428
dev_test,combined,B,HH,exact,176,166,8,0.045454545454545456,0.04819277108433735,0.08692868039839428
dev_test,combined,B,HH,tag,176,166,162,0.9204545454545454,0.9759036144578314,0.08692868039839428
dev_test,combined,B,HL,album,336,319,148,0.44047619047619047,0.46394984326018807,0.060570209700627785
dev_test,combined,B,HL,artist,336,319,202,0.6011904761904762,0.6332288401253918,0.060570209700627785
dev_test,combined,B,HL,exact,336,319,16,0.047619047619047616,0.050156739811912224,0.060570209700627785
dev_test,combined,B,HL,tag,336,319,315,0.9375,0.987460815047022,0.060570209700627785
dev_test,combined,B,LH,album,280,257,83,0.29642857142857143,0.3229571984435798,0.08677102593261786
dev_test,combined,B,LH,artist,280,257,134,0.4785714285714286,0.5214007782101168,0.08677102593261786
dev_test,combined,B,LH,exact,280,257,8,0.02857142857142857,0.0311284046692607,0.08677102593261786
dev_test,combined,B,LH,tag,280,257,252,0.9,0.980544747081712,0.08677102593261786
dev_test,combined,B,LL,album,344,324,113,0.32848837209302323,0.3487654320987654,0.06024977682856112
dev_test,combined,B,LL,artist,344,324,153,0.44476744186046513,0.4722222222222222,0.06024977682856112
dev_test,combined,B,LL,exact,344,324,6,0.01744186046511628,0.018518518518518517,0.06024977682856112
dev_test,combined,B,LL,tag,344,324,318,0.9244186046511628,0.9814814814814815,0.06024977682856112
dev_test,combined,C,HH,album,8,7,0,0.0,0.0,0.04774253880479811
dev_test,combined,C,HH,artist,8,7,0,0.0,0.0,0.04774253880479811
dev_test,combined,C,HH,exact,8,7,0,0.0,0.0,0.04774253880479811
dev_test,combined,C,HH,tag,8,7,6,0.75,0.8571428571428571,0.04774253880479811
dev_test,combined,C,HL,album,64,60,22,0.34375,0.36666666666666664,0.09554094355198375
dev_test,combined,C,HL,artist,64,60,29,0.453125,0.48333333333333334,0.09554094355198375
dev_test,combined,C,HL,exact,64,60,0,0.0,0.0,0.09554094355198375
dev_test,combined,C,HL,tag,64,60,58,0.90625,0.9666666666666667,0.09554094355198375
dev_test,combined,C,LH,album,256,239,91,0.35546875,0.3807531380753138,0.08031634972040505
dev_test,combined,C,LH,artist,256,239,112,0.4375,0.4686192468619247,0.08031634972040505
dev_test,combined,C,LH,exact,256,239,4,0.015625,0.016736401673640166,0.08031634972040505
dev_test,combined,C,LH,tag,256,239,232,0.90625,0.9707112970711297,0.08031634972040505
dev_test,combined,C,LL,album,136,128,46,0.3382352941176471,0.359375,0.07501531894023034
dev_test,combined,C,LL,artist,136,128,69,0.5073529411764706,0.5390625,0.07501531894023034
dev_test,combined,C,LL,exact,136,128,8,0.058823529411764705,0.0625,0.07501531894023034
dev_test,combined,C,LL,tag,136,128,127,0.9338235294117647,0.9921875,0.07501531894023034
dev_test,combined,D,HH,album,96,87,36,0.375,0.41379310344827586,0.1194545941211621
dev_test,combined,D,HH,artist,96,87,45,0.46875,0.5172413793103449,0.1194545941211621
dev_test,combined,D,HH,exact,96,87,5,0.052083333333333336,0.05747126436781609,0.1194545941211621
dev_test,combined,D,HH,tag,96,87,86,0.8958333333333334,0.9885057471264368,0.1194545941211621
dev_test,combined,D,HL,album,224,212,63,0.28125,0.2971698113207547,0.04959636822042642
dev_test,combined,D,HL,artist,224,212,96,0.42857142857142855,0.4528301886792453,0.04959636822042642
dev_test,combined,D,HL,exact,224,212,6,0.026785714285714284,0.02830188679245283,0.04959636822042642
dev_test,combined,D,HL,tag,224,212,206,0.9196428571428571,0.9716981132075472,0.04959636822042642
dev_test,combined,D,LH,album,208,195,75,0.3605769230769231,0.38461538461538464,0.08892407813917208
dev_test,combined,D,LH,artist,208,195,106,0.5096153846153846,0.5435897435897435,0.08892407813917208
dev_test,combined,D,LH,exact,208,195,7,0.03365384615384615,0.035897435897435895,0.08892407813917208
dev_test,combined,D,LH,tag,208,195,194,0.9326923076923077,0.9948717948717949,0.08892407813917208
dev_test,combined,D,LL,album,160,153,62,0.3875,0.40522875816993464,0.09390762829720416
dev_test,combined,D,LL,artist,160,153,81,0.50625,0.5294117647058824,0.09390762829720416
dev_test,combined,D,LL,exact,160,153,12,0.075,0.0784313725490196,0.09390762829720416
dev_test,combined,D,LL,tag,160,153,144,0.9,0.9411764705882353,0.09390762829720416
dev_test,combined,E,HH,album,64,59,30,0.46875,0.5084745762711864,0.130315526990304
dev_test,combined,E,HH,artist,64,59,36,0.5625,0.6101694915254238,0.130315526990304
dev_test,combined,E,HH,exact,64,59,1,0.015625,0.01694915254237288,0.130315526990304
dev_test,combined,E,HH,tag,64,59,59,0.921875,1.0,0.130315526990304
dev_test,combined,E,HL,album,128,119,27,0.2109375,0.226890756302521,0.10363131841600007
dev_test,combined,E,HL,artist,128,119,33,0.2578125,0.2773109243697479,0.10363131841600007
dev_test,combined,E,HL,exact,128,119,0,0.0,0.0,0.10363131841600007
dev_test,combined,E,HL,tag,128,119,112,0.875,0.9411764705882353,0.10363131841600007
dev_test,combined,E,LH,album,352,328,132,0.375,0.4024390243902439,0.07434673523038303
dev_test,combined,E,LH,artist,352,328,176,0.5,0.5365853658536586,0.07434673523038303
dev_test,combined,E,LH,exact,352,328,8,0.022727272727272728,0.024390243902439025,0.07434673523038303
dev_test,combined,E,LH,tag,352,328,321,0.9119318181818182,0.9786585365853658,0.07434673523038303
dev_test,combined,E,LL,album,216,200,76,0.35185185185185186,0.38,0.08490363634085357
dev_test,combined,E,LL,artist,216,200,104,0.48148148148148145,0.52,0.08490363634085357
dev_test,combined,E,LL,exact,216,200,10,0.046296296296296294,0.05,0.08490363634085357
dev_test,combined,E,LL,tag,216,200,195,0.9027777777777778,0.975,0.08490363634085357
dev_test,combined,F,HH,album,96,88,49,0.5104166666666666,0.5568181818181818,0.1377210376044041
dev_test,combined,F,HH,artist,96,88,55,0.5729166666666666,0.625,0.1377210376044041
dev_test,combined,F,HH,exact,96,88,3,0.03125,0.03409090909090909,0.1377210376044041
dev_test,combined,F,HH,tag,96,88,80,0.8333333333333334,0.9090909090909091,0.1377210376044041
dev_test,combined,F,HL,album,256,243,99,0.38671875,0.4074074074074074,0.06740395932572406
dev_test,combined,F,HL,artist,256,243,134,0.5234375,0.551440329218107,0.06740395932572406
dev_test,combined,F,HL,exact,256,243,11,0.04296875,0.04526748971193416,0.06740395932572406
dev_test,combined,F,HL,tag,256,243,239,0.93359375,0.9835390946502057,0.06740395932572406
dev_test,combined,F,LH,album,248,230,85,0.34274193548387094,0.3695652173913043,0.07695025329183208
dev_test,combined,F,LH,artist,248,230,117,0.4717741935483871,0.508695652173913,0.07695025329183208
dev_test,combined,F,LH,exact,248,230,11,0.04435483870967742,0.04782608695652174,0.07695025329183208
dev_test,combined,F,LH,tag,248,230,211,0.8508064516129032,0.9173913043478261,0.07695025329183208
dev_test,combined,F,LL,album,160,149,31,0.19375,0.2080536912751678,0.06558586068680425
dev_test,combined,F,LL,artist,160,149,52,0.325,0.348993288590604,0.06558586068680425
dev_test,combined,F,LL,exact,160,149,2,0.0125,0.013422818791946308,0.06558586068680425
dev_test,combined,F,LL,tag,160,149,146,0.9125,0.9798657718120806,0.06558586068680425
dev_test,combined,G,HH,album,40,36,13,0.325,0.3611111111111111,0.09541624404363386
dev_test,combined,G,HH,artist,40,36,19,0.475,0.5277777777777778,0.09541624404363386
dev_test,combined,G,HH,exact,40,36,0,0.0,0.0,0.09541624404363386
dev_test,combined,G,HH,tag,40,36,34,0.85,0.9444444444444444,0.09541624404363386
dev_test,combined,G,HL,album,248,228,84,0.3387096774193548,0.3684210526315789,0.08152350404665978
dev_test,combined,G,HL,artist,248,228,115,0.4637096774193548,0.5043859649122807,0.08152350404665978
dev_test,combined,G,HL,exact,248,228,9,0.036290322580645164,0.039473684210526314,0.08152350404665978
dev_test,combined,G,HL,tag,248,228,214,0.8629032258064516,0.9385964912280702,0.08152350404665978
dev_test,combined,G,LH,album,176,162,38,0.2159090909090909,0.2345679012345679,0.07250391623501433
dev_test,combined,G,LH,artist,176,162,78,0.4431818181818182,0.48148148148148145,0.07250391623501433
dev_test,combined,G,LH,exact,176,162,2,0.011363636363636364,0.012345679012345678,0.07250391623501433
dev_test,combined,G,LH,tag,176,162,157,0.8920454545454546,0.9691358024691358,0.07250391623501433
dev_test,combined,G,LL,album,152,143,41,0.26973684210526316,0.2867132867132867,0.06070039545604535
dev_test,combined,G,LL,artist,152,143,61,0.40131578947368424,0.42657342657342656,0.06070039545604535
dev_test,combined,G,LL,exact,152,143,6,0.039473684210526314,0.04195804195804196,0.06070039545604535
dev_test,combined,G,LL,tag,152,143,137,0.9013157894736842,0.958041958041958,0.06070039545604535
dev_test,combined,H,HH,album,112,102,55,0.49107142857142855,0.5392156862745098,0.12187080905078258
dev_test,combined,H,HH,artist,112,102,74,0.6607142857142857,0.7254901960784313,0.12187080905078258
dev_test,combined,H,HH,exact,112,102,2,0.017857142857142856,0.0196078431372549,0.12187080905078258
dev_test,combined,H,HH,tag,112,102,101,0.9017857142857143,0.9901960784313726,0.12187080905078258
dev_test,combined,H,HL,album,384,364,113,0.2942708333333333,0.31043956043956045,0.06858780239747035
dev_test,combined,H,HL,artist,384,364,160,0.4166666666666667,0.43956043956043955,0.06858780239747035
