split,scope,user_prior_track_bin,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,user,0,exact,4000,0,0,0.0,0.0,0.0
dev_test,user,0,artist,4000,0,0,0.0,0.0,0.0
dev_test,user,0,album,4000,0,0,0.0,0.0,0.0
dev_test,user,0,tag,4000,0,0,0.0,0.0,0.0
dev_test,user,1-8,exact,1208,1208,44,0.03642384105960265,0.03642384105960265,0.05641670351693425
dev_test,user,1-8,artist,1208,1208,211,0.17466887417218543,0.17466887417218543,0.05641670351693425
dev_test,user,1-8,album,1208,1208,143,0.1183774834437086,0.1183774834437086,0.05641670351693425
dev_test,user,1-8,tag,1208,1208,1102,0.9122516556291391,0.9122516556291391,0.05641670351693425
dev_test,user,9-24,exact,1848,1848,140,0.07575757575757576,0.07575757575757576,0.03787127724987924
dev_test,user,9-24,artist,1848,1848,463,0.25054112554112556,0.25054112554112556,0.03787127724987924
dev_test,user,9-24,album,1848,1848,316,0.170995670995671,0.170995670995671,0.03787127724987924
dev_test,user,9-24,tag,1848,1848,1771,0.9583333333333334,0.9583333333333334,0.03787127724987924
dev_test,user,25-64,exact,944,944,96,0.1016949152542373,0.1016949152542373,0.02811505590717169
dev_test,user,25-64,artist,944,944,337,0.3569915254237288,0.3569915254237288,0.02811505590717169
dev_test,user,25-64,album,944,944,217,0.2298728813559322,0.2298728813559322,0.02811505590717169
dev_test,user,25-64,tag,944,944,918,0.972457627118644,0.972457627118644,0.02811505590717169
train,user,0,exact,68728,0,0,0.0,0.0,0.0
train,user,0,artist,68728,0,0,0.0,0.0,0.0
train,user,0,album,68728,0,0,0.0,0.0,0.0
train,user,0,tag,68728,0,0,0.0,0.0,0.0
train,user,1-8,exact,23624,23624,1159,0.04906027768371148,0.04906027768371148,0.06403730239835152
train,user,1-8,artist,23624,23624,4405,0.18646291906535725,0.18646291906535725,0.06403730239835152
train,user,1-8,album,23624,23624,3034,0.12842871655943108,0.12842871655943108,0.06403730239835152
train,user,1-8,tag,23624,23624,22094,0.9352353538774127,0.9352353538774127,0.06403730239835152
train,user,9-24,exact,11960,11960,1360,0.11371237458193979,0.11371237458193979,0.050459648210335044
train,user,9-24,artist,11960,11960,3781,0.31613712374581937,0.31613712374581937,0.050459648210335044
train,user,9-24,album,11960,11960,2787,0.2330267558528428,0.2330267558528428,0.050459648210335044
train,user,9-24,tag,11960,11960,11655,0.9744983277591973,0.9744983277591973,0.050459648210335044
train,user,25-64,exact,10968,10968,1929,0.17587527352297594,0.17587527352297594,0.03009795468913992
train,user,25-64,artist,10968,10968,4723,0.4306163384390955,0.4306163384390955,0.03009795468913992
train,user,25-64,album,10968,10968,3578,0.3262217359591539,0.3262217359591539,0.03009795468913992
train,user,25-64,tag,10968,10968,10835,0.987873814733771,0.987873814733771,0.03009795468913992
train,user,65+,exact,6312,6312,1270,0.2012040557667934,0.2012040557667934,0.018740632497017427
train,user,65+,artist,6312,6312,3083,0.4884347275031686,0.4884347275031686,0.018740632497017427
train,user,65+,album,6312,6312,2268,0.3593155893536122,0.3593155893536122,0.018740632497017427
train,user,65+,tag,6312,6312,6236,0.9879594423320659,0.9879594423320659,0.018740632497017427
