split,scope,turn_number,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,combined,1,album,1000,500,84,0.084,0.168,0.021296456223417293
dev_test,combined,1,artist,1000,500,131,0.131,0.262,0.021296456223417293
dev_test,combined,1,exact,1000,500,39,0.039,0.078,0.021296456223417293
dev_test,combined,1,tag,1000,500,470,0.47,0.94,0.021296456223417293
dev_test,combined,2,album,1000,1000,307,0.307,0.307,0.10994823081388805
dev_test,combined,2,artist,1000,1000,486,0.486,0.486,0.10994823081388805
dev_test,combined,2,exact,1000,1000,34,0.034,0.034,0.10994823081388805
dev_test,combined,2,tag,1000,1000,953,0.953,0.953,0.10994823081388805
dev_test,combined,3,album,1000,1000,321,0.321,0.321,0.09841367707068437
dev_test,combined,3,artist,1000,1000,483,0.483,0.483,0.09841367707068437
dev_test,combined,3,exact,1000,1000,45,0.045,0.045,0.09841367707068437
dev_test,combined,3,tag,1000,1000,974,0.974,0.974,0.09841367707068437
dev_test,combined,4,album,1000,1000,354,0.354,0.354,0.08607640171541042
dev_test,combined,4,artist,1000,1000,500,0.5,0.5,0.08607640171541042
dev_test,combined,4,exact,1000,1000,41,0.041,0.041,0.08607640171541042
dev_test,combined,4,tag,1000,1000,975,0.975,0.975,0.08607640171541042
dev_test,combined,5,album,1000,1000,371,0.371,0.371,0.07491178926996285
dev_test,combined,5,artist,1000,1000,521,0.521,0.521,0.07491178926996285
dev_test,combined,5,exact,1000,1000,37,0.037,0.037,0.07491178926996285
dev_test,combined,5,tag,1000,1000,977,0.977,0.977,0.07491178926996285
dev_test,combined,6,album,1000,1000,389,0.389,0.389,0.069122865449112
dev_test,combined,6,artist,1000,1000,514,0.514,0.514,0.069122865449112
dev_test,combined,6,exact,1000,1000,32,0.032,0.032,0.069122865449112
dev_test,combined,6,tag,1000,1000,979,0.979,0.979,0.069122865449112
dev_test,combined,7,album,1000,1000,388,0.388,0.388,0.06477880542291166
dev_test,combined,7,artist,1000,1000,521,0.521,0.521,0.06477880542291166
dev_test,combined,7,exact,1000,1000,25,0.025,0.025,0.06477880542291166
dev_test,combined,7,tag,1000,1000,983,0.983,0.983,0.06477880542291166
dev_test,combined,8,album,1000,1000,433,0.433,0.433,0.06040142762362947
dev_test,combined,8,artist,1000,1000,558,0.558,0.558,0.06040142762362947
dev_test,combined,8,exact,1000,1000,27,0.027,0.027,0.06040142762362947
dev_test,combined,8,tag,1000,1000,981,0.981,0.981,0.06040142762362947
dev_test,session,1,album,1000,0,0,0.0,0.0,0.0
dev_test,session,1,artist,1000,0,0,0.0,0.0,0.0
dev_test,session,1,exact,1000,0,0,0.0,0.0,0.0
dev_test,session,1,tag,1000,0,0,0.0,0.0,0.0
dev_test,session,2,album,1000,1000,263,0.263,0.263,0.1665311143851464
dev_test,session,2,artist,1000,1000,429,0.429,0.429,0.1665311143851464
dev_test,session,2,exact,1000,1000,0,0.0,0.0,0.1665311143851464
dev_test,session,2,tag,1000,1000,928,0.928,0.928,0.1665311143851464
dev_test,session,3,album,1000,1000,264,0.264,0.264,0.14728162441820042
dev_test,session,3,artist,1000,1000,421,0.421,0.421,0.14728162441820042
dev_test,session,3,exact,1000,1000,0,0.0,0.0,0.14728162441820042
dev_test,session,3,tag,1000,1000,965,0.965,0.965,0.14728162441820042
dev_test,session,4,album,1000,1000,299,0.299,0.299,0.12520169492669214
dev_test,session,4,artist,1000,1000,440,0.44,0.44,0.12520169492669214
dev_test,session,4,exact,1000,1000,0,0.0,0.0,0.12520169492669214
dev_test,session,4,tag,1000,1000,965,0.965,0.965,0.12520169492669214
dev_test,session,5,album,1000,1000,328,0.328,0.328,0.10796548576056031
dev_test,session,5,artist,1000,1000,467,0.467,0.467,0.10796548576056031
dev_test,session,5,exact,1000,1000,0,0.0,0.0,0.10796548576056031
dev_test,session,5,tag,1000,1000,968,0.968,0.968,0.10796548576056031
dev_test,session,6,album,1000,1000,349,0.349,0.349,0.09851210772986485
dev_test,session,6,artist,1000,1000,467,0.467,0.467,0.09851210772986485
dev_test,session,6,exact,1000,1000,0,0.0,0.0,0.09851210772986485
dev_test,session,6,tag,1000,1000,973,0.973,0.973,0.09851210772986485
dev_test,session,7,album,1000,1000,355,0.355,0.355,0.09415539773509124
dev_test,session,7,artist,1000,1000,483,0.483,0.483,0.09415539773509124
dev_test,session,7,exact,1000,1000,0,0.0,0.0,0.09415539773509124
dev_test,session,7,tag,1000,1000,980,0.98,0.98,0.09415539773509124
dev_test,session,8,album,1000,1000,400,0.4,0.4,0.08399275884290927
dev_test,session,8,artist,1000,1000,516,0.516,0.516,0.08399275884290927
dev_test,session,8,exact,1000,1000,0,0.0,0.0,0.08399275884290927
dev_test,session,8,tag,1000,1000,976,0.976,0.976,0.08399275884290927
dev_test,user,1,album,1000,500,84,0.084,0.168,0.021296456223417293
dev_test,user,1,artist,1000,500,131,0.131,0.262,0.021296456223417293
dev_test,user,1,exact,1000,500,39,0.039,0.078,0.021296456223417293
dev_test,user,1,tag,1000,500,470,0.47,0.94,0.021296456223417293
dev_test,user,2,album,1000,500,80,0.08,0.16,0.022311390670558155
dev_test,user,2,artist,1000,500,126,0.126,0.252,0.022311390670558155
dev_test,user,2,exact,1000,500,34,0.034,0.068,0.022311390670558155
dev_test,user,2,tag,1000,500,469,0.469,0.938,0.022311390670558155
dev_test,user,3,album,1000,500,95,0.095,0.19,0.022836961190446082
dev_test,user,3,artist,1000,500,138,0.138,0.276,0.022836961190446082
dev_test,user,3,exact,1000,500,45,0.045,0.09,0.022836961190446082
dev_test,user,3,tag,1000,500,479,0.479,0.958,0.022836961190446082
dev_test,user,4,album,1000,500,94,0.094,0.188,0.022843142762310167
dev_test,user,4,artist,1000,500,137,0.137,0.274,0.022843142762310167
dev_test,user,4,exact,1000,500,41,0.041,0.082,0.022843142762310167
dev_test,user,4,tag,1000,500,478,0.478,0.956,0.022843142762310167
dev_test,user,5,album,1000,500,94,0.094,0.188,0.018903043416230888
dev_test,user,5,artist,1000,500,140,0.14,0.28,0.018903043416230888
dev_test,user,5,exact,1000,500,37,0.037,0.074,0.018903043416230888
dev_test,user,5,tag,1000,500,470,0.47,0.94,0.018903043416230888
dev_test,user,6,album,1000,500,81,0.081,0.162,0.019828617911278566
dev_test,user,6,artist,1000,500,117,0.117,0.234,0.019828617911278566
dev_test,user,6,exact,1000,500,32,0.032,0.064,0.019828617911278566
dev_test,user,6,tag,1000,500,471,0.471,0.942,0.019828617911278566
dev_test,user,7,album,1000,500,74,0.074,0.148,0.01842966002551404
dev_test,user,7,artist,1000,500,111,0.111,0.222,0.01842966002551404
dev_test,user,7,exact,1000,500,25,0.025,0.05,0.01842966002551404
dev_test,user,7,tag,1000,500,482,0.482,0.964,0.01842966002551404
dev_test,user,8,album,1000,500,74,0.074,0.148,0.018228838782848294
