entity_type,value,count
artist_name,Green Day,156.0
artist_name,Bad Religion,145.0
artist_name,AC/DC,140.0
artist_name,The Beatles,138.0
artist_name,Red Hot Chili Peppers,135.0
artist_name,Bob Dylan,131.0
artist_name,David Bowie,115.0
artist_name,Gorillaz,114.0
artist_name,Britney Spears,114.0
artist_name,Drake,111.0
artist_name,Muse,109.0
artist_name,Nine Inch Nails,107.0
artist_name,Bruce Springsteen,107.0
artist_name,Dream Theater,106.0
artist_name,Megadeth,103.0
artist_name,Elvis Presley,103.0
artist_name,John Mayer,99.0
artist_name,Foo Fighters,99.0
artist_name,Glee Cast,97.0
artist_name,Pink Floyd,96.0
artist_name,Linkin Park,94.0
artist_name,Pearl Jam,94.0
artist_name,Nick Cave & The Bad Seeds,92.0
artist_name,Aphex Twin,91.0
artist_name,Future,89.0
artist_name,Daft Punk,87.0
artist_name,The Black Keys,86.0
artist_name,A Tribe Called Quest,86.0
artist_name,Howard Shore,85.0
artist_name,Madonna,84.0
artist_name,Weezer,84.0
artist_name,Coldplay,83.0
artist_name,Disturbed,83.0
artist_name,Slipknot,81.0
artist_name,John Williams,81.0
artist_name,Brian Eno,80.0
artist_name,Rush,79.0
artist_name,Judas Priest,79.0
artist_name,Kendrick Lamar,78.0
artist_name,Boards of Canada,77.0
artist_name,Mariah Carey,77.0
artist_name,Rancid,75.0
artist_name,Flying Lotus,74.0
artist_name,Placebo,74.0
artist_name,Thomas Bergersen,74.0
artist_name,Aerosmith,74.0
artist_name,Deftones,73.0
artist_name,MF DOOM,73.0
artist_name,Michael Jackson,72.0
artist_name,Arch Enemy,72.0
artist_name,Trivium,72.0
artist_name,Stone Sour,72.0
artist_name,Beastie Boys,70.0
artist_name,M83,69.0
artist_name,The Clash,69.0
artist_name,Hans Zimmer,69.0
artist_name,Korn,68.0
artist_name,Lacuna Coil,67.0
artist_name,Nas,67.0
artist_name,Christina Aguilera,67.0
artist_name,Ozzy Osbourne,67.0
artist_name,Tom Waits,67.0
artist_name,A$AP Rocky,66.0
artist_name,Paramore,65.0
artist_name,Panic! At The Disco,65.0
artist_name,Alicia Keys,65.0
artist_name,Kanye West,64.0
artist_name,Two Steps from Hell,64.0
artist_name,Black Sabbath,64.0
artist_name,The Smiths,63.0
artist_name,Eminem,62.0
artist_name,The Knife,62.0
artist_name,Outkast,62.0
artist_name,Pretty Lights,62.0
artist_name,Fleetwood Mac,62.0
artist_name,One Direction,61.0
artist_name,Fall Out Boy,61.0
artist_name,OutKast,61.0
artist_name,blink-182,61.0
artist_name,The Doors,61.0
artist_name,Killswitch Engage,60.0
artist_name,ScHoolboy Q,60.0
artist_name,Misfits,58.0
artist_name,Ludovico Einaudi,58.0
artist_name,Slayer,58.0
artist_name,Scott Bradlee's Postmodern Jukebox,58.0
artist_name,Alice In Chains,58.0
artist_name,Every Time I Die,57.0
artist_name,Fugazi,57.0
artist_name,Kid Cudi,57.0
artist_name,NOFX,57.0
artist_name,Air,57.0
artist_name,Enigma,56.0
artist_name,My Chemical Romance,56.0
artist_name,Mastodon,56.0
artist_name,Massive Attack,55.0
artist_name,Tegan and Sara,55.0
artist_name,Jimi Hendrix,54.0
artist_name,Wilco,54.0
artist_name,Young Thug,54.0
album_name,The Collection,170.0
album_name,Original Album Classics,106.0
