split,turn_number,role,rows
blind_a,1,assistant,60
blind_a,1,music,60
blind_a,1,user,80
blind_a,2,assistant,45
blind_a,2,music,45
blind_a,2,user,60
blind_a,3,assistant,35
blind_a,3,music,35
blind_a,3,user,45
blind_a,4,assistant,30
blind_a,4,music,30
blind_a,4,user,35
blind_a,5,assistant,22
blind_a,5,music,22
blind_a,5,user,30
blind_a,6,assistant,13
blind_a,6,music,13
blind_a,6,user,22
blind_a,7,assistant,5
blind_a,7,music,5
blind_a,7,user,13
blind_a,8,user,5
dev_test,1,assistant,1000
dev_test,1,music,1000
dev_test,1,user,1000
dev_test,2,assistant,1000
dev_test,2,music,1000
dev_test,2,user,1000
dev_test,3,assistant,1000
dev_test,3,music,1000
dev_test,3,user,1000
dev_test,4,assistant,1000
dev_test,4,music,1000
dev_test,4,user,1000
dev_test,5,assistant,1000
dev_test,5,music,1000
dev_test,5,user,1000
dev_test,6,assistant,1000
dev_test,6,music,1000
dev_test,6,user,1000
dev_test,7,assistant,1000
dev_test,7,music,1000
dev_test,7,user,1000
dev_test,8,assistant,1000
dev_test,8,music,1000
dev_test,8,user,1000
train,1,assistant,15199
train,1,music,15199
train,1,user,15199
train,2,assistant,15199
train,2,music,15199
train,2,user,15199
train,3,assistant,15199
train,3,music,15199
train,3,user,15199
train,4,assistant,15199
train,4,music,15199
train,4,user,15199
train,5,assistant,15199
train,5,music,15199
train,5,user,15199
train,6,assistant,15199
train,6,music,15199
train,6,user,15199
train,7,assistant,15199
train,7,music,15199
train,7,user,15199
train,8,assistant,15199
train,8,music,15199
train,8,user,15199
